"src","dest"
"DUSP10","MAPK3"
"DUSP10","MAPK8"
"DUSP10","MAPK11"
"DUSP10","MAPK9"
"DUSP10","MAPK10"
"DUSP10","MAPK13"
"DUSP10","MAPK12"
"RASGRP4","RRAS2"
"RASGRP4","MRAS"
"RASGRP4","HRAS"
"RASGRP4","KRAS"
"RASGRP4","NRAS"
"RASGRP4","RRAS"
"CSF1","CSF1R"
"CSF1","EGFR"
"CSF1","EPHA2"
"CSF1","ERBB2"
"CSF1","ERBB3"
"CSF1","ERBB4"
"CSF1","FGFR1"
"CSF1","FGFR3"
"CSF1","FGFR2"
"CSF1","FGFR4"
"CSF1","FLT1"
"CSF1","FLT3"
"CSF1","FLT4"
"CSF1","IGF1R"
"CSF1","INSR"
"CSF1","KDR"
"CSF1","KIT"
"CSF1","MET"
"CSF1","NGFR"
"CSF1","NTRK1"
"CSF1","NTRK2"
"CSF1","PDGFRA"
"CSF1","PDGFRB"
"CSF1","RET"
"CSF1","TEK"
"DAXX","MAP3K5"
"GADD45A","MAP3K4"
"DUSP1","MAPK1"
"DUSP1","MAPK3"
"DUSP2","MAPK14"
"DUSP2","MAPK1"
"DUSP2","MAPK3"
"DUSP2","MAPK8"
"DUSP2","MAPK11"
"DUSP2","MAPK9"
"DUSP2","MAPK10"
"DUSP2","MAPK13"
"DUSP2","MAPK12"
"DUSP3","MAPK14"
"DUSP3","MAPK1"
"DUSP3","MAPK3"
"DUSP3","MAPK8"
"DUSP3","MAPK11"
"DUSP3","MAPK9"
"DUSP3","MAPK10"
"DUSP3","MAPK13"
"DUSP3","MAPK12"
"DUSP4","MAPK14"
"DUSP4","MAPK1"
"DUSP4","MAPK3"
"DUSP4","MAPK8"
"DUSP4","MAPK11"
"DUSP4","MAPK9"
"DUSP4","MAPK10"
"DUSP4","MAPK13"
"DUSP4","MAPK12"
"DUSP5","MAPK14"
"DUSP5","MAPK1"
"DUSP5","MAPK3"
"DUSP5","MAPK8"
"DUSP5","MAPK11"
"DUSP5","MAPK9"
"DUSP5","MAPK10"
"DUSP5","MAPK13"
"DUSP5","MAPK12"
"DUSP6","MAPK1"
"DUSP6","MAPK3"
"DUSP7","MAPK14"
"DUSP7","MAPK1"
"DUSP7","MAPK3"
"DUSP7","MAPK8"
"DUSP7","MAPK11"
"DUSP7","MAPK9"
"DUSP7","MAPK10"
"DUSP7","MAPK13"
"DUSP7","MAPK12"
"DUSP8","MAPK14"
"DUSP8","MAPK1"
"DUSP8","MAPK3"
"DUSP8","MAPK8"
"DUSP8","MAPK11"
"DUSP8","MAPK9"
"DUSP8","MAPK10"
"DUSP8","MAPK13"
"DUSP8","MAPK12"
"DUSP9","MAPK14"
"DUSP9","MAPK1"
"DUSP9","MAPK3"
"DUSP9","MAPK8"
"DUSP9","MAPK11"
"DUSP9","MAPK9"
"DUSP9","MAPK10"
"DUSP9","MAPK13"
"DUSP9","MAPK12"
"EFNA1","CSF1R"
"EFNA1","EGFR"
"EFNA1","EPHA2"
"EFNA1","ERBB2"
"EFNA1","ERBB3"
"EFNA1","ERBB4"
"EFNA1","FGFR1"
"EFNA1","FGFR3"
"EFNA1","FGFR2"
"EFNA1","FGFR4"
"EFNA1","FLT1"
"EFNA1","FLT3"
"EFNA1","FLT4"
"EFNA1","IGF1R"
"EFNA1","INSR"
"EFNA1","KDR"
"EFNA1","KIT"
"EFNA1","MET"
"EFNA1","NGFR"
"EFNA1","NTRK1"
"EFNA1","NTRK2"
"EFNA1","PDGFRA"
"EFNA1","PDGFRB"
"EFNA1","RET"
"EFNA1","TEK"
"EFNA2","CSF1R"
"EFNA2","EGFR"
"EFNA2","EPHA2"
"EFNA2","ERBB2"
"EFNA2","ERBB3"
"EFNA2","ERBB4"
"EFNA2","FGFR1"
"EFNA2","FGFR3"
"EFNA2","FGFR2"
"EFNA2","FGFR4"
"EFNA2","FLT1"
"EFNA2","FLT3"
"EFNA2","FLT4"
"EFNA2","IGF1R"
"EFNA2","INSR"
"EFNA2","KDR"
"EFNA2","KIT"
"EFNA2","MET"
"EFNA2","NGFR"
"EFNA2","NTRK1"
"EFNA2","NTRK2"
"EFNA2","PDGFRA"
"EFNA2","PDGFRB"
"EFNA2","RET"
"EFNA2","TEK"
"EFNA3","CSF1R"
"EFNA3","EGFR"
"EFNA3","EPHA2"
"EFNA3","ERBB2"
"EFNA3","ERBB3"
"EFNA3","ERBB4"
"EFNA3","FGFR1"
"EFNA3","FGFR3"
