"src","dest"
"PDYN","GNG7"
"PDYN","GNA14"
"PDYN","GNB3"
"PDYN","GNA11"
"PDYN","GNA15"
"PDYN","GNAQ"
"PDYN","GNG4"
"PDYN","GNG10"
"PDYN","GNG2"
"PDYN","GNG11"
"PDYN","GNB1"
"PDYN","GNB2"
"PDYN","GNGT1"
"PDYN","GNG3"
"PDYN","GNG5"
"PDYN","GNB4"
"PDYN","GNG13"
"PDYN","GNG12"
"PDYN","GNG8"
"PRKCG","GRK2"
"PRKCG","GRK2"
"CALM1","CREB1"
"CALM2","CREB1"
"CALM3","CREB1"
"CALM1","PDE1A"
"CALM2","PDE1A"
"CALM3","PDE1A"
"CALM1","PDE1B"
"CALM2","PDE1B"
"CALM3","PDE1B"
"CALM1","PDE1C"
"CALM2","PDE1C"
"CALM3","PDE1C"
"CALM1","CAMK4"
"CALM2","CAMK4"
"CALM3","CAMK4"
"CALM1","PPP1R1B"
"CALM2","PPP1R1B"
"CALM3","PPP1R1B"
"PPP3CB","PPP1R1B"
"PRKCA","GRK2"
"PRKCA","GRK2"
"PRKACA","CREB1"
"PRKACA","PDE4B"
"PRKACA","PPP1R1B"
"PRKACG","CREB1"
"PRKACG","PDE4B"
"PRKACG","PPP1R1B"
"PRKACB","CREB1"
"PRKACB","PDE4B"
"PRKACB","PPP1R1B"
"MAPK1","PLA2G4A"
"GNA11","GNGT2"
"GNA11","GNB5"
"GNA11","GNG7"
"GNA11","POMC"
"GNA11","PDYN"
"GNA11","GNB3"
"GNA11","OPRM1"
"GNA11","GNG4"
"GNA11","GNG10"
"GNA11","GNG2"
"GNA11","GNG11"
"GNA11","GNB1"
"GNA11","GNB2"
"GNA11","GNGT1"
"GNA11","GNG3"
"GNA11","GNG5"
"GNA11","GNB4"
"GNA11","GNG13"
"GNA11","GNG12"
"GNA11","GNG8"
"PPP2R1A","PPP1R1B"
"PPP2R1B","PPP1R1B"
"GNA15","GNGT2"
"GNA15","GNB5"
"GNA15","GNG7"
"GNA15","POMC"
"GNA15","PDYN"
"GNA15","GNB3"
"GNA15","OPRM1"
"GNA15","GNG4"
"GNA15","GNG10"
"GNA15","GNG2"
"GNA15","GNG11"
"GNA15","GNB1"
"GNA15","GNB2"
"GNA15","GNGT1"
"GNA15","GNG3"
"GNA15","GNG5"
"GNA15","GNB4"
"GNA15","GNG13"
"GNA15","GNG12"
"GNA15","GNG8"
"OPRM1","GNGT2"
"OPRM1","GNB5"
"OPRM1","GNG7"
"OPRM1","GNA14"
"OPRM1","GNB3"
"OPRM1","GNA11"
"OPRM1","GNA15"
"OPRM1","GNAQ"
"OPRM1","GNG4"
"OPRM1","GNG10"
"OPRM1","GNG2"
"OPRM1","GNG11"
"OPRM1","GNB1"
"OPRM1","GNB2"
"OPRM1","GNGT1"
"OPRM1","GNG3"
"OPRM1","GNG5"
"OPRM1","GNB4"
"OPRM1","GNG13"
"OPRM1","GNG12"
"OPRM1","GNG8"
"ADCY8","GNAL"
"PPP3CC","PPP1R1B"
"GNAQ","GNGT2"
"GNAQ","GNB5"
"GNAQ","GNG7"
"GNAQ","POMC"
"GNAQ","PDYN"
"GNAQ","GNB3"
"GNAQ","OPRM1"
"GNAQ","GNG4"
"GNAQ","GNG10"
"GNAQ","GNG2"
"GNAQ","GNG11"
"GNAQ","GNB1"
"GNAQ","GNB2"
"GNAQ","GNGT1"
"GNAQ","GNG3"
"GNAQ","GNG5"
"GNAQ","GNB4"
"GNAQ","GNG13"
"GNAQ","GNG12"
"GNAQ","GNG8"
"PRKX","CREB1"
"ADCY7","GNAL"
"PPP2CB","PPP1R1B"
"PPP3R1","PPP1R1B"
"PPP2CA","PPP1R1B"
"CDK5","PPP1R1B"
"PRKCD","GRK2"
"PRKCD","GRK2"
"PPP3CA","PPP1R1B"
"ADCY2","GNAL"
"ADCY1","GNAL"
"PPP2R5D","PPP1R1B"
"CAMK4","CREB1"
"CAMKK1","CALM1"
"CAMKK1","CALM2"
"CAMKK1","CALM3"
"CAMKK1","CAMK4"
"ADCY4","GNAL"
"CAMKK2","CALM1"
"CAMKK2","CALM2"
"CAMKK2","CALM3"
"CAMKK2","CAMK4"
"PPP1R1B","PRKACA"
"PPP1R1B","PDE4B"
"UNC13B","PPFIA3"
"UNC13B","PPFIA2"
"UNC13B","PPFIA4"
"UNC13B","TSPOAP1"
"UNC13B","SNAP25"
"UNC13B","PPFIA1"
"UNC13B","STX1A"
"UNC13B","RIMS1"
"LIN7A","UNC13B"
"LIN7A","PPFIA3"
"LIN7A","PPFIA2"
"LIN7A","PPFIA4"
"LIN7A","TSPOAP1"
"LIN7A","SNAP25"
"LIN7A","PPFIA1"
"LIN7A","STX1A"
"LIN7A","RIMS1"
"CASK","UNC13B"
"CASK","PPFIA3"
"CASK","PPFIA2"
"CASK","PPFIA4"
"CASK","TSPOAP1"
"CASK","SNAP25"
"CASK","PPFIA1"
"CASK","STX1A"
"CASK","RIMS1"
"HSPA8","CPLX1"
"HSPA8","STXBP1"
"HSPA8","RIMS1"
"RAB3A","UNC13B"
"RAB3A","PPFIA3"
"RAB3A","PPFIA2"
"RAB3A","PPFIA4"
"RAB3A","TSPOAP1"
"RAB3A","PPFIA1"
"RAB3A","RIMS1"
"SYT1","UNC13B"
"SYT1","PPFIA3"
"SYT1","PPFIA2"
"SYT1","PPFIA4"
"SYT1","TSPOAP1"
"SYT1","PPFIA1"
"SYT1","RIMS1"
"VAMP2","UNC13B"
"VAMP2","PPFIA3"
"VAMP2","PPFIA2"
"VAMP2","PPFIA4"
"VAMP2","TSPOAP1"
"VAMP2","PPFIA1"
"VAMP2","RIMS1"
"APBA1","UNC13B"
"APBA1","PPFIA3"
"APBA1","PPFIA2"
"APBA1","PPFIA4"
"APBA1","TSPOAP1"
"APBA1","SNAP25"
"APBA1","PPFIA1"
"APBA1","STX1A"
"APBA1","RIMS1"
"GAD2","CPLX1"
"GAD2","STXBP1"
"GAD2","RIMS1"
"SLC18A2","UNC13B"
"SLC18A2","PPFIA3"
"SLC18A2","PPFIA2"
"SLC18A2","PPFIA4"
"SLC18A2","TSPOAP1"
"SLC18A2","SNAP25"
"SLC18A2","PPFIA1"
"SLC18A2","STX1A"
"SLC18A2","RIMS1"
"SLC18A3","UNC13B"
"SLC18A3","PPFIA3"
"SLC18A3","PPFIA2"
"SLC18A3","PPFIA4"
"SLC18A3","TSPOAP1"
"SLC18A3","RAB3A"
"SLC18A3","SYT1"
"SLC18A3","SNAP25"
"SLC18A3","VAMP2"
"SLC18A3","PPFIA1"
"SLC18A3","STX1A"
"SLC18A3","RIMS1"
"GAD1","CPLX1"
"GAD1","STXBP1"
"GAD1","RIMS1"
"DNAJC5","CPLX1"
"DNAJC5","STXBP1"
"DNAJC5","RIMS1"
"SLC32A1","CPLX1"
"SLC32A1","STXBP1"
"SLC32A1","RIMS1"
"LIN7B","UNC13B"
"LIN7B","PPFIA3"
"LIN7B","PPFIA2"
"LIN7B","PPFIA4"
"LIN7B","TSPOAP1"
"LIN7B","SNAP25"
"LIN7B","PPFIA1"
"LIN7B","STX1A"
"LIN7B","RIMS1"
"LIN7C","UNC13B"
